date,CO,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona
2024-07-04 03:00:00,0.37,1.8,4.0,21.87,5.9,41.0,2.3,7.0,42.0,CENTRO
2024-07-04 03:00:00,0.22,2.0,6.1,12.0,8.1,47.0,2.1,6.3,100.0,NORTE
2024-07-04 03:00:00,0.63,1.9,2.5,11.69,4.3,30.0,1.9,11.2,102.0,SURESTE
2024-07-04 04:00:00,0.41,2.1,5.9,20.97,8.3,48.0,2.3,6.3,51.0,CENTRO
2024-07-04 04:00:00,0.23,2.3,7.6,13.0,9.9,46.0,2.0,6.2,81.0,NORTE
2024-07-04 04:00:00,0.63,1.9,2.7,11.85,4.6,28.0,1.7,8.7,105.0,SURESTE
2024-07-04 05:00:00,0.38,2.4,7.8,22.21,10.4,49.0,2.4,6.1,60.0,CENTRO
2024-07-04 05:00:00,0.28,3.2,8.2,14.0,11.4,56.0,1.9,6.4,89.0,NORTE
2024-07-04 05:00:00,0.65,2.0,5.7,12.9,7.7,30.0,1.6,8.5,61.0,SURESTE
2024-07-04 06:00:00,0.41,3.7,12.0,25.36,15.9,54.0,2.4,6.8,69.0,CENTRO
2024-07-04 06:00:00,0.36,6.7,9.9,14.0,16.6,60.0,1.9,6.6,99.0,NORTE
2024-07-04 06:00:00,0.66,2.1,7.2,13.3,9.2,38.0,1.7,9.1,81.0,SURESTE
2024-07-04 07:00:00,0.46,6.6,13.0,27.73,19.8,60.0,2.3,5.4,62.0,CENTRO
2024-07-04 07:00:00,0.37,9.0,10.2,,19.2,67.0,1.8,4.9,115.0,NORTE
2024-07-04 07:00:00,0.73,3.3,9.8,13.85,13.1,36.0,1.7,8.9,84.0,SURESTE
2024-07-04 08:00:00,0.59,13.0,13.4,27.72,26.7,61.0,2.5,7.1,71.0,CENTRO
2024-07-04 08:00:00,0.4,9.7,10.4,15.0,20.1,60.0,2.4,3.3,117.0,NORTE
2024-07-04 08:00:00,0.78,6.6,8.9,14.38,15.4,43.0,1.7,8.7,106.0,SURESTE
2024-07-04 09:00:00,0.7,23.0,15.1,29.0,38.4,72.0,2.5,5.9,53.0,CENTRO
2024-07-04 09:00:00,0.48,9.5,11.6,20.0,21.1,54.0,2.2,3.4,128.0,NORTE
2024-07-04 09:00:00,0.8,7.8,7.6,21.27,15.4,45.0,2.0,9.3,92.0,SURESTE
2024-07-04 10:00:00,0.74,22.1,19.1,36.0,41.5,76.0,2.5,7.0,36.0,CENTRO
2024-07-04 10:00:00,0.52,4.9,12.2,25.0,17.2,73.0,2.5,4.4,131.0,NORTE
2024-07-04 10:00:00,0.8,5.9,7.6,22.16,13.4,63.0,1.9,9.4,109.0,SURESTE
2024-07-04 11:00:00,0.76,15.3,23.0,40.0,38.5,98.0,2.5,6.5,45.0,CENTRO
2024-07-04 11:00:00,0.39,2.7,9.6,24.0,12.3,79.0,2.5,6.3,144.0,NORTE
2024-07-04 11:00:00,0.86,4.8,11.4,22.37,16.1,61.0,2.1,8.0,111.0,SURESTE
2024-07-04 12:00:00,0.76,10.0,25.7,40.0,35.9,103.0,2.5,7.7,32.0,CENTRO
2024-07-04 12:00:00,0.33,2.5,8.4,22.0,10.9,68.0,2.6,8.8,129.0,NORTE
