date_only,Hora,Zona,CO,NOX,O3,PM2.5,PM10,WSR,WDR,date,hour,influence_plume_sum,influence_plume_log1p_sum,Q_hat_mean,u_mean,wind_cov,influence_plume_z
2024-08-02,2,SURESTE,0.65,6.700001,12.000001,21.73,72.0,14.099999,98.0,2024-08-02,2,1839.5071278105265,1467.8832636880425,8.86483092011739,14.099999,1.0,-0.4895289492955651
2024-08-02,3,CENTRO,0.57000005,28.6,5.000002,30.279999,80.0,6.7,36.0,2024-08-02,3,2754.7059584491444,1924.3541636487075,7.86046314367428,6.7,1.0,0.05532493948606024
2024-08-02,3,NORTE,0.97082543,13.884744,5.0,15.192936,52.0,4.2,276.0,2024-08-02,3,6130.593117151787,3442.3244130920307,9.267470849274261,4.2,1.0,0.43733242209086565
2024-08-02,3,SURESTE,0.6599999,6.800001,11.000002,23.15,68.0,9.799999,103.0,2024-08-02,3,2577.4563962472853,1912.7783766785199,8.883653194480074,9.799999,1.0,-0.1433686098064045
2024-08-02,4,CENTRO,0.59000003,31.900002,4.000002,31.419998,91.0,5.6,49.0,2024-08-02,4,3187.3150924178785,2133.6464863696797,7.762718291847617,5.599999999999999,1.0,0.28290445903828076
2024-08-02,4,NORTE,0.9765525,15.108176,4.000002,15.796087,54.0,4.7,277.0,2024-08-02,4,5485.65958325915,3197.5091017238833,9.248965781137404,4.7,1.0,0.2683966735189089
2024-08-02,4,SURESTE,0.65,6.800001,12.000001,22.15,63.0,6.5999994,97.0,2024-08-02,4,3971.683153489255,2679.641531237275,8.926236797121984,6.599999399999999,1.0,0.5106411280636889
2024-08-02,5,CENTRO,0.74,19.1,5.000002,31.13,90.0,5.8999996,26.999992,2024-08-02,5,3128.2906916196207,2133.3054301575953,7.562495267010008,5.8999996,1.0,0.2518539246857258
2024-08-02,5,NORTE,0.92837673,16.188282,4.000002,16.415354,55.0,4.2,279.0,2024-08-02,5,6021.556637365485,3383.782082160845,9.136654268882278,4.2,1.0,0.4087710923315475
2024-08-02,5,SURESTE,0.66999996,12.0,7.000002,20.05,62.0,6.7,51.0,2024-08-02,5,4342.407520013312,2944.2645580977596,8.786402550475012,6.7,1.0,0.6845420695806047
2024-08-02,6,CENTRO,0.76,18.800001,5.000002,31.8,81.0,6.3999996,36.0,2024-08-02,6,2697.165394950074,1892.7493906331788,7.368326579182931,6.3999996,1.0,0.02505499655686435
2024-08-02,6,NORTE,0.95160735,17.088129,4.000002,17.252779,55.0,2.6000004,211.0,2024-08-02,6,10812.748916804274,5283.497267033114,8.998743787923114,2.6000004,1.0,1.6637898062660512
2024-08-02,6,SURESTE,0.68,14.700001,6.000002,19.05,61.0,5.9999995,60.0,2024-08-02,6,4858.341282060844,3208.210662927661,8.66871213677827,5.9999995,1.0,0.9265584436907429
2024-08-02,7,CENTRO,0.70000005,25.6,5.000002,33.239998,87.0,5.6,7.9999924,2024-08-02,7,3349.4919766854105,2277.6686491977352,7.253438409704912,5.599999999999999,1.0,0.3682196650892664
2024-08-02,7,NORTE,0.96852434,18.498411,5.0,17.706911,58.0,3.7000003,300.0,2024-08-02,7,6335.738548760492,3396.253156290436,8.962232172194069,3.7000003,1.0,0.491068807677389
2024-08-02,7,SURESTE,0.72999996,20.1,5.000002,20.59,61.0,4.2999997,32.0,2024-08-02,7,6241.223841901518,3697.772420341339,8.586351717381415,4.2999997,1.0,1.5752467978402684
2024-08-02,8,CENTRO,1.1,27.900002,7.000002,34.16,85.0,4.7,9.999992,2024-08-02,8,3948.4577312484585,2568.931300292773,7.2447589926050036,4.7,1.0,0.6833131939779639
2024-08-02,8,NORTE,1.0314804,18.453184,9.0,18.80716,67.0,3.0,277.0,2024-08-02,8,8257.00473095846,4131.688149023161,8.896937063423502,3.0,1.0,0.9943308085483672
2024-08-02,8,SURESTE,0.78,24.5,7.000002,24.59,66.0,3.3999996,93.0,2024-08-02,8,7573.861264982007,4181.867373103229,8.61654211000184,3.3999996,1.0,2.2003659523950443
2024-08-02,9,CENTRO,1.24,31.5,11.0,36.57,85.0,4.3,9.999992,2024-08-02,9,4331.6623808381555,2743.266760211597,7.291849896316463,4.3,1.0,0.8849028581714692
2024-08-02,9,NORTE,1.0424438,17.815245,15.0,20.411057,62.0,5.2,300.0,2024-08-02,9,4507.185567155153,2714.8760175617126,8.92927030510474,5.2,1.0,0.012092369769903837
2024-08-02,9,SURESTE,0.83,27.0,12.000001,26.849998,78.0,3.9999995,329.0,2024-08-02,9,5635.524216018156,3224.133679061707,8.578342542266208,3.9999995,1.0,1.291122675638214
2024-08-02,10,CENTRO,1.1700001,34.1,19.0,41.84,94.0,7.0,44.0,2024-08-02,10,2373.581468416587,1724.5498336523078,7.295765574387307,7.0,1.0,-0.14517043040010386
2024-08-02,10,NORTE,1.020126,17.80218,21.0,20.834297,81.0,3.5,309.0,2024-08-02,10,6368.043391163723,3348.7834849129677,8.897228440528632,3.5,1.0,0.4995308311993312
2024-08-02,10,SURESTE,0.84,25.1,22.0,26.289999,79.0,7.1999993,49.999992,2024-08-02,10,3948.534135412475,2735.2050270649734,8.633379236718842,7.1999993,1.0,0.49978228952418613
2024-08-02,11,CENTRO,0.88000005,31.1,26.0,40.32,104.0,8.599999,36.0,2024-08-02,11,1965.533492835772,1491.1774647794718,7.3165919127353165,8.599999,1.0,-0.3598292411954617
2024-08-02,11,NORTE,1.043876,15.83774,32.0,21.835224,67.0,3.4,125.0,2024-08-02,11,8210.423734721502,4523.664755668081,8.89313410694405,3.4,1.0,0.9821292481472172
2024-08-02,11,SURESTE,0.84999996,23.7,30.0,29.27,91.0,9.4,77.0,2024-08-02,11,2974.3002275434933,2203.7376999492544,8.627269610642472,9.4,1.0,0.04278455985074126
2024-08-02,12,CENTRO,0.77,25.0,40.0,39.76,111.0,10.799999,56.999996,2024-08-02,12,1501.5174365515397,1195.9925387780688,7.3683841053810015,10.799999,1.0,-0.6039307704093912
2024-08-02,12,NORTE,1.0144029,15.362533,42.0,22.635853,83.0,4.5,123.0,2024-08-02,12,6178.769012351163,3744.7674371157163,8.883693408534548,4.5,1.0,0.4499517549227441
2024-08-02,12,SURESTE,0.84,17.0,44.0,36.73,97.0,14.099999,84.0,2024-08-02,12,1917.5174543024998,1536.5127367774721,8.608384716957636,14.099999,1.0,-0.45293553799057656
2024-08-02,13,CENTRO,0.72,14.000001,65.0,40.72,98.0,10.3,56.0,2024-08-02,13,1568.5537352605784,1239.346619157668,7.40110216293976,10.3,1.0,-0.5686654755858548
2024-08-02,13,NORTE,0.90922654,7.699999,56.0,22.124895,86.0,4.7,106.0,2024-08-02,13,5752.538347367401,3520.911876326905,8.908043025237077,4.7,1.0,0.3383036661363706
2024-08-02,13,SURESTE,0.84,13.3,46.0,36.72,109.0,16.3,103.0,2024-08-02,13,1502.8310956284483,1231.0576764920486,8.56996497725303,16.3,1.0,-0.6474583552625817
2024-08-02,14,CENTRO,0.64,11.1,44.0,34.329998,95.0,14.2,68.0,2024-08-02,14,1147.0010729309145,950.8681880785414,7.456386400370505,14.199999999999998,1.0,-0.7904285980581557
2024-08-02,14,NORTE,0.9131395,16.3,57.0,20.488886,107.0,8.2,138.0,2024-08-02,14,3428.032227011256,2460.7266077968197,8.872624552771168,8.2,1.0,-0.2705841662768103
2024-08-02,14,SURESTE,0.7899999,9.600001,29.0,27.529999,101.0,17.4,107.0,2024-08-02,14,1375.2670463395361,1136.5235099657486,8.544088509215953,17.4,1.0,-0.7072966347990647
2024-08-02,15,CENTRO,0.58000004,9.2,33.0,26.519999,81.0,13.299999,100.0,2024-08-02,15,1250.5136535137538,1021.7798916107845,7.402461861506469,13.299999,1.0,-0.735974492707815
2024-08-02,15,NORTE,0.87681067,14.799998,40.0,17.122923,89.0,11.3,147.0,2024-08-02,15,2485.6276532834654,1905.8346336427376,8.868070109903723,11.300000000000002,1.0,-0.5174403363373415
2024-08-02,15,SURESTE,0.76,9.1,27.0,28.869999,82.0,15.699999,122.0,2024-08-02,15,1374.1074726109157,1111.6019454456905,8.537250400878971,15.699998999999998,1.0,-0.7078405725095963
2024-08-02,16,CENTRO,0.55999994,8.200001,31.0,24.869999,68.0,14.1,130.0,2024-08-02,16,1248.6977234322178,1014.3434962127809,7.461456510181559,14.1,1.0,-0.7369297857496079
2024-08-02,16,NORTE,0.88519734,17.099998,38.0,16.080408,73.0,11.1,133.0,2024-08-02,16,2524.0549774949386,1935.5352255771495,8.81665608347658,11.1,1.0,-0.5073745722855018
2024-08-02,16,SURESTE,0.72999996,10.800001,27.0,20.949999,72.0,15.299999,123.0,2024-08-02,16,1394.6416454507696,1124.0643290682249,8.57499887730765,15.299999000000001,1.0,-0.6982083165464859
2024-08-02,17,CENTRO,0.59000003,9.5,33.0,22.91,64.0,12.6,112.0,2024-08-02,17,1356.0069549975485,1096.366828717654,7.4587149460773725,12.6,1.0,-0.6804784040159042
2024-08-02,17,NORTE,0.9146132,19.8,37.0,15.85852,71.0,12.7,142.0,2024-08-02,17,2208.512952922221,1737.133630894194,8.858713374923763,12.699999999999998,1.0,-0.5900285595969708
2024-08-02,17,SURESTE,0.7,9.000001,28.0,18.43,62.0,15.0,141.0,2024-08-02,17,1208.6053716747772,965.4952792405778,8.570976024065434,15.0,1.0,-0.7854749925119148
2024-08-02,18,CENTRO,0.61,9.2,32.0,21.289999,61.0,12.6,119.0,2024-08-02,18,1387.3110912070556,1116.4230701530105,7.516439611126781,12.6,1.0,-0.6640104662883763
2024-08-02,18,NORTE,0.9529211,21.5,33.0,15.523196,60.0,11.4,134.0,2024-08-02,18,2467.8870605339253,1901.6086567383138,8.846717896938777,11.4,1.0,-0.5220873583307005
2024-08-02,18,SURESTE,0.7099999,9.1,28.0,17.359999,53.0,13.9,131.0,2024-08-02,18,1450.1059994008724,1145.8971991336389,8.600695533471713,13.9,1.0,-0.6721908646509293
2024-08-02,19,CENTRO,0.59000003,9.400002,30.0,19.439999,55.0,12.5,118.0,2024-08-02,19,1358.8310382419947,1099.6237378118033,7.380057689723902,12.5,1.0,-0.6789927592213748
