parameter,date,SE,SE_b,NE,NE_b,CE,CE_b,NO,NO_b,SO,SO_b,NO2,NO2_b,Norte,NTE_b,NE2,NE2_b,SE2,SE2_b,SO2,SO2_b,SE3,SE3_b,SUR,SUR_b,Norte2,NTE2_b,NE3,NE3_b
PM10 ,2020-11-24 19:00:00.000,60.06, ,74.6, ,69.0, ,76.37, ,114.69, ,74.0, ,51.0, ,58.0, ,89.0, ,61.0, ,94.0, ,45.0, ,74.0, ,72.0, 
PM10 ,2020-11-24 20:00:00.000,53.03, ,88.96, ,43.0, ,84.66, ,126.45, ,83.0, ,76.0, ,61.0, ,129.0, ,50.0, ,223.0, ,61.0, ,80.0, ,68.0, 
PM10 ,2020-11-24 21:00:00.000,55.96, ,60.18, ,55.0, ,112.16, ,229.08, ,146.0, ,98.0, ,72.0, ,157.0, ,81.0, ,344.0, ,51.0, ,70.0, ,68.0, 
PM10 ,2020-11-24 22:00:00.000,52.87, ,75.94, ,83.0, ,162.44, ,266.02, ,144.0, ,125.0, ,74.0, ,158.0, ,120.0, ,210.0, ,34.0, ,96.0, ,95.0, 
PM10 ,2020-11-24 23:00:00.000,47.08, ,138.47, ,63.0, ,293.93, ,164.87, ,111.0, ,82.0, ,84.0, ,153.0, ,107.0, ,223.0, ,26.0, ,137.0, ,83.0, 
PM10 ,2020-11-25 00:00:00.000,39.65, ,143.12, ,73.0, ,168.88, ,160.66, ,103.0, ,89.0, ,75.0, ,196.0, ,96.0, ,138.0, ,32.0, ,137.0, ,84.0, 
PM10 ,2020-11-25 01:00:00.000,33.09, ,137.83, ,60.0, ,127.48, ,91.99, ,75.0, ,77.0, ,73.0, ,188.0, ,73.0, ,193.0, ,37.0, ,177.0, ,71.0, 
PM10 ,2020-11-25 02:00:00.000,25.36, ,119.81, ,51.0, ,110.16, ,74.38, ,49.0, ,97.0, ,95.0, ,136.0, ,,x,96.0, ,43.0, ,135.0, ,69.0, 
PM10 ,2020-11-25 03:00:00.000,23.81, ,101.88, ,39.0, ,103.75, ,58.14, ,34.0, ,81.0, ,138.0, ,87.0, ,55.0, ,60.0, ,21.0, ,103.0, ,58.0, 
PM10 ,2020-11-25 04:00:00.000,40.46, ,89.68, ,43.0, ,84.86, ,52.21, ,42.0, ,80.0, ,117.0, ,82.0, ,44.0, ,68.0, ,20.0, ,117.0, ,76.0, 
PM10 ,2020-11-25 05:00:00.000,53.04, ,118.32, ,44.0, ,59.75, ,53.85, ,46.0, ,58.0, ,72.0, ,93.0, ,90.0, ,51.0, ,22.0, ,114.0, ,122.0, 
PM10 ,2020-11-25 06:00:00.000,45.58, ,108.0, ,72.0, ,96.99, ,64.89, ,43.0, ,69.0, ,57.0, ,93.0, ,32.0, ,70.0, ,28.0, ,100.0, ,104.0, 
PM10 ,2020-11-25 07:00:00.000,60.03, ,72.2, ,49.0, ,104.13, ,112.36, ,46.0, ,88.0, ,62.0, ,83.0, ,40.0, ,96.0, ,29.0, ,126.0, ,78.0, 
PM10 ,2020-11-25 08:00:00.000,85.23, ,132.43, ,68.0, ,153.27, ,140.78, ,80.0, ,55.0, ,80.0, ,91.0, ,58.0, ,94.0, ,59.0, ,98.0, ,81.0, 
PM10 ,2020-11-25 09:00:00.000,128.32, ,150.47, ,93.0, ,131.03, ,148.71, ,56.0, ,127.0, ,90.0, ,110.0, ,67.0, ,105.0, ,92.0, ,145.0, ,82.0, 
PM10 ,2020-11-25 10:00:00.000,141.24, ,126.76, ,116.0, ,141.62, ,143.13, ,132.0, ,118.0, ,127.0, ,204.0, ,101.0, ,172.0, ,133.0, ,170.0, ,122.0, 
PM10 ,2020-11-25 11:00:00.000,140.03, ,134.68, ,161.0, ,109.71, ,166.08, ,181.0, ,133.0, ,111.0, ,180.0, ,140.0, ,197.0, ,138.0, ,175.0, ,137.0, 
PM10 ,2020-11-25 12:00:00.000,135.25, ,128.37, ,133.0, ,106.92, ,151.18, ,152.0, ,124.0, ,118.0, ,164.0, ,163.0, ,154.0, ,135.0, ,172.0, ,158.0, 
PM10 ,2020-11-25 13:00:00.000,121.65, ,113.67, ,127.0, ,100.59, ,147.38, ,103.0, ,143.0, ,97.0, ,174.0, ,139.0, ,147.0, ,137.0, ,145.0, ,149.0, 
PM10 ,2020-11-25 14:00:00.000,123.35, ,95.79, ,150.0, ,111.06, ,141.41, ,82.0, ,106.0, ,78.0, ,117.0, ,144.0, ,131.0, ,129.0, ,140.0, ,118.0, 
PM10 ,2020-11-25 15:00:00.000,110.27, ,88.57, ,124.0, ,90.98, ,121.37, ,68.0, ,101.0, ,67.0, ,123.0, ,139.0, ,112.0, ,127.0, ,127.0, ,120.0, 
PM10 ,2020-11-25 16:00:00.000,108.43, ,89.89, ,114.0, ,87.44, ,116.62, ,107.0, ,91.0, ,72.0, ,108.0, ,133.0, ,115.0, ,118.0, ,114.0, ,108.0, 
PM10 ,2020-11-25 17:00:00.000,109.6, ,87.9, ,113.0, ,78.16, ,113.93, ,113.0, ,91.0, ,59.0, ,95.0, ,120.0, ,114.0, ,110.0, ,112.0, ,89.0, 
PM10 ,2020-11-25 18:00:00.000,109.85, ,,x,120.0, ,87.22, ,119.76, ,103.0, ,87.0, ,67.0, ,88.0, ,115.0, ,148.0, ,102.0, ,122.0, ,91.0, 
PM10 ,2020-11-25 19:00:00.000,135.95, ,104.84, ,127.0, ,104.99, ,112.18, ,104.0, ,91.0, ,89.0, ,122.0, ,112.0, ,132.0, ,99.0, ,,o,82.0, 
PM10 ,2020-11-25 20:00:00.000,113.77, ,97.52, ,161.0, ,102.92, ,116.65, ,93.0, ,123.0, ,92.0, ,124.0, ,117.0, ,121.0, ,104.0, ,,o,114.0, 
PM10 ,2020-11-25 21:00:00.000,96.99, ,86.52, ,129.0, ,93.37, ,114.56, ,104.0, ,85.0, ,126.0, ,124.0, ,133.0, ,140.0, ,92.0, ,,o,79.0, 
PM10 ,2020-11-25 22:00:00.000,88.17, ,76.39, ,83.0, ,90.54, ,83.2, ,105.0, ,81.0, ,82.0, ,112.0, ,118.0, ,134.0, ,97.0, ,,o,107.0, 
PM10 ,2020-11-25 23:00:00.000,87.1, ,70.18, ,71.0, ,83.79, ,80.28, ,90.0, ,114.0, ,63.0, ,88.0, ,95.0, ,96.0, ,79.0, ,,o,88.0, 
PM10 ,2020-11-26 00:00:00.000,75.9, ,66.79, ,66.0, ,146.97, ,102.62, ,95.0, ,89.0, ,61.0, ,91.0, ,87.0, ,168.0, ,77.0, ,,o,99.0, 
PM10 ,2020-11-26 01:00:00.000,65.57, ,77.66, ,61.0, ,172.51, ,218.42, ,91.0, ,72.0, ,76.0, ,97.0, ,79.0, ,124.0, ,73.0, ,,o,100.0, 
PM10 ,2020-11-26 02:00:00.000,76.99, ,85.1, ,62.0, ,121.21, ,213.88, ,68.0, ,65.0, ,76.0, ,115.0, ,78.0, ,173.0, ,64.0, ,,o,90.0, 
PM10 ,2020-11-26 03:00:00.000,60.65, ,80.41, ,60.0, ,101.04, ,135.63, ,59.0, ,63.0, ,71.0, ,93.0, ,77.0, ,155.0, ,60.0, ,,o,78.0, 
PM10 ,2020-11-26 04:00:00.000,64.92, ,76.78, ,,x,127.02, ,90.39, ,58.0, ,131.0, ,56.0, ,64.0, ,68.0, ,118.0, ,60.0, ,,l,75.0, 
PM10 ,2020-11-26 05:00:00.000,72.81, ,85.0, ,69.0, ,159.55, ,94.59, ,81.0, ,111.0, ,49.0, ,79.0, ,73.0, ,128.0, ,56.0, ,,o,69.0, 
PM10 ,2020-11-26 06:00:00.000,70.54, ,87.13, ,79.0, ,140.46, ,114.03, ,76.0, ,81.0, ,53.0, ,97.0, ,78.0, ,109.0, ,54.0, ,,o,67.0, 
PM10 ,2020-11-26 07:00:00.000,63.15, ,95.67, ,81.0, ,131.59, ,,a,83.0, ,67.0, ,56.0, ,108.0, ,73.0, ,103.0, ,50.0, ,,o,58.0, 
PM10 ,2020-11-26 08:00:00.000,79.1, ,95.8, ,98.0, ,149.17, ,364.32, ,99.0, ,87.0, ,65.0, ,126.0, ,74.0, ,120.0, ,52.0, ,,o,91.0, 
PM10 ,2020-11-26 09:00:00.000,83.73, ,114.63, ,121.0, ,137.46, ,276.57, ,119.0, ,131.0, ,72.0, ,114.0, ,88.0, ,114.0, ,44.0, ,,o,92.0, 
PM10 ,2020-11-26 10:00:00.000,121.88, ,223.23, ,134.0, ,103.41, ,205.19, ,124.0, ,169.0, ,69.0, ,80.0, ,155.0, ,97.0, ,58.0, ,,o,101.0, 
PM10 ,2020-11-26 11:00:00.000,101.13, ,247.16, ,138.0, ,110.22, ,221.39, ,83.0, ,95.0, ,62.0, ,65.0, ,175.0, ,75.0, ,98.0, ,,o,86.0, 
PM10 ,2020-11-26 12:00:00.000,101.56, ,95.24, ,118.0, ,110.2, ,152.74, ,89.0, ,110.0, ,47.0, ,16.0, ,168.0, ,78.0, ,100.0, ,,o,54.0, 
PM10 ,2020-11-26 13:00:00.000,107.08, ,88.73, ,168.0, ,106.92, ,153.2, ,78.0, ,103.0, ,60.0, ,46.0, ,148.0, ,85.0, ,101.0, ,157.0, ,54.0, 
PM10 ,2020-11-26 14:00:00.000,105.05, ,87.98, ,60.0, ,111.71, ,139.23, ,94.0, ,106.0, ,41.0, ,53.0, ,152.0, ,80.0, ,88.0, ,148.0, ,56.0, 
PM10 ,2020-11-26 15:00:00.000,111.05, ,88.89, ,,o,100.02, ,129.6, ,101.0, ,106.0, ,57.0, ,48.0, ,179.0, ,76.0, ,64.0, ,136.0, ,52.0, 
PM10 ,2020-11-26 16:00:00.000,94.3, ,86.05, ,124.0, ,102.85, ,123.91, ,115.0, ,96.0, ,70.0, ,64.0, ,157.0, ,84.0, ,61.0, ,144.0, ,46.0, 
PM10 ,2020-11-26 17:00:00.000,75.07, ,62.42, ,108.0, ,82.26, ,95.46, ,117.0, ,88.0, ,64.0, ,57.0, ,139.0, ,90.0, ,60.0, ,121.0, ,53.0, 
PM10 ,2020-11-26 18:00:00.000,66.85, ,86.36, ,77.0, ,79.66, ,101.5, ,129.0, ,82.0, ,57.0, ,70.0, ,117.0, ,87.0, ,64.0, ,77.0, ,57.0, 
PM10 ,2020-11-26 19:00:00.000,102.66, ,124.57, ,59.0, ,93.97, ,105.23, ,129.0, ,72.0, ,65.0, ,95.0, ,94.0, ,100.0, ,62.0, ,87.0, ,55.0, 
PM10 ,2020-11-26 20:00:00.000,79.31, ,126.32, ,88.0, ,84.87, ,88.63, ,118.0, ,130.0, ,68.0, ,110.0, ,86.0, ,138.0, ,61.0, ,101.0, ,101.0, 
PM10 ,2020-11-26 21:00:00.000,69.49, ,119.62, ,103.0, ,198.4, ,238.03, ,113.0, ,100.0, ,70.0, ,236.0, ,86.0, ,269.0, ,59.0, ,106.0, ,87.0, 
PM10 ,2020-11-26 22:00:00.000,79.33, ,100.13, ,79.0, ,213.28, ,150.94, ,109.0, ,88.0, ,136.0, ,224.0, ,86.0, ,183.0, ,68.0, ,140.0, ,66.0, 
PM10 ,2020-11-26 23:00:00.000,66.18, ,86.52, ,72.0, ,173.42, ,174.97, ,90.0, ,59.0, ,114.0, ,170.0, ,95.0, ,157.0, ,56.0, ,115.0, ,67.0, 
PM10 ,2020-11-27 00:00:00.000,61.41, ,112.47, ,77.0, ,197.87, ,207.64, ,107.0, ,68.0, ,95.0, ,153.0, ,100.0, ,140.0, ,70.0, ,199.0, ,106.0, 
PM10 ,2020-11-27 01:00:00.000,56.98, ,127.05, ,90.0, ,138.69, ,164.45, ,91.0, ,57.0, ,120.0, ,149.0, ,117.0, ,122.0, ,48.0, ,165.0, ,90.0, 
PM10 ,2020-11-27 02:00:00.000,52.42, ,138.0, ,114.0, ,91.92, ,150.07, ,84.0, ,85.0, ,81.0, ,172.0, ,97.0, ,92.0, ,46.0, ,147.0, ,114.0, 
PM10 ,2020-11-27 03:00:00.000,55.77, ,136.64, ,109.0, ,86.62, ,96.74, ,82.0, ,134.0, ,77.0, ,142.0, ,97.0, ,73.0, ,45.0, ,192.0, ,84.0, 
PM10 ,2020-11-27 04:00:00.000,56.17, ,141.04, ,96.0, ,125.8, ,84.39, ,63.0, ,115.0, ,61.0, ,149.0, ,75.0, ,71.0, ,51.0, ,196.0, ,66.0, 
PM10 ,2020-11-27 05:00:00.000,48.77, ,128.32, ,84.0, ,132.81, ,104.43, ,52.0, ,134.0, ,60.0, ,120.0, ,73.0, ,65.0, ,61.0, ,170.0, ,59.0, 
PM10 ,2020-11-27 06:00:00.000,49.17, ,102.86, ,81.0, ,148.84, ,109.08, ,57.0, ,96.0, ,78.0, ,113.0, ,70.0, ,113.0, ,51.0, ,167.0, ,72.0, 
PM10 ,2020-11-27 07:00:00.000,81.66, ,100.58, ,93.0, ,114.62, ,160.0, ,60.0, ,111.0, ,84.0, ,169.0, ,58.0, ,90.0, ,47.0, ,165.0, ,69.0, 
PM10 ,2020-11-27 08:00:00.000,104.56, ,122.16, ,136.0, ,131.97, ,263.78, ,66.0, ,122.0, ,99.0, ,107.0, ,89.0, ,89.0, ,59.0, ,194.0, ,105.0, 
PM10 ,2020-11-27 09:00:00.000,132.33, ,94.2, ,124.0, ,128.22, ,361.4, ,66.0, ,118.0, ,103.0, ,102.0, ,65.0, ,92.0, ,46.0, ,197.0, ,99.0, 
PM10 ,2020-11-27 10:00:00.000,120.68, ,74.95, ,150.0, ,117.34, ,108.1, ,121.0, ,79.0, ,95.0, ,116.0, ,73.0, ,77.0, ,116.0, ,134.0, ,74.0, 
PM10 ,2020-11-27 11:00:00.000,94.19, ,108.12, ,139.0, ,96.73, ,90.22, ,103.0, ,88.0, ,62.0, ,100.0, ,110.0, ,67.0, ,140.0, ,115.0, ,65.0, 
PM10 ,2020-11-27 12:00:00.000,108.37, ,101.81, ,100.0, ,82.28, ,102.62, ,98.0, ,96.0, ,57.0, ,109.0, ,146.0, ,63.0, ,147.0, ,130.0, ,67.0, 
PM10 ,2020-11-27 13:00:00.000,112.66, ,84.61, ,112.0, ,86.97, ,97.34, ,76.0, ,91.0, ,52.0, ,109.0, ,129.0, ,62.0, ,112.0, ,147.0, ,50.0, 
PM10 ,2020-11-27 14:00:00.000,128.23, ,77.56, ,155.0, ,89.95, ,142.08, ,112.0, ,100.0, ,53.0, ,73.0, ,129.0, ,65.0, ,103.0, ,159.0, ,36.0, 
PM10 ,2020-11-27 15:00:00.000,83.17, ,64.41, ,132.0, ,63.85, ,111.54, ,95.0, ,101.0, ,47.0, ,65.0, ,179.0, ,61.0, ,113.0, ,119.0, ,39.0, 
PM10 ,2020-11-27 16:00:00.000,90.08, ,56.11, ,113.0, ,55.09, ,81.53, ,116.0, ,57.0, ,37.0, ,59.0, ,170.0, ,67.0, ,87.0, ,93.0, ,44.0, 
PM10 ,2020-11-27 17:00:00.000,79.92, ,55.58, ,79.0, ,59.25, ,72.84, ,90.0, ,56.0, ,43.0, ,57.0, ,98.0, ,70.0, ,78.0, ,92.0, ,40.0, 
PM10 ,2020-11-27 18:00:00.000,80.36, ,59.11, ,79.0, ,60.79, ,73.3, ,82.0, ,47.0, ,46.0, ,70.0, ,90.0, ,65.0, ,104.0, ,75.0, ,40.0, 
PM10 ,2020-11-27 19:00:00.000,82.42, ,63.15, ,71.0, ,57.88, ,76.31, ,72.0, ,46.0, ,56.0, ,74.0, ,106.0, ,120.0, ,65.0, ,79.0, ,56.0, 
PM10 ,2020-11-27 20:00:00.000,64.38, ,73.47, ,74.0, ,52.1, ,63.79, ,82.0, ,49.0, ,49.0, ,90.0, ,116.0, ,102.0, ,83.0, ,85.0, ,65.0, 
PM10 ,2020-11-27 21:00:00.000,57.05, ,74.34, ,62.0, ,56.12, ,53.99, ,56.0, ,58.0, ,46.0, ,106.0, ,90.0, ,104.0, ,77.0, ,99.0, ,54.0, 
PM10 ,2020-11-27 22:00:00.000,62.12, ,54.34, ,90.0, ,42.91, ,51.75, ,49.0, ,64.0, ,42.0, ,139.0, ,82.0, ,211.0, ,46.0, ,117.0, ,47.0, 
PM10 ,2020-11-27 23:00:00.000,90.07, ,49.57, ,79.0, ,46.61, ,56.32, ,54.0, ,54.0, ,47.0, ,162.0, ,90.0, ,125.0, ,71.0, ,100.0, ,46.0, 
PM10 ,2020-11-28 00:00:00.000,78.04, ,47.23, ,68.0, ,39.95, ,,n,58.0, ,45.0, ,46.0, ,162.0, ,85.0, ,100.0, ,57.0, ,89.0, ,55.0, 
PM10 ,2020-11-28 01:00:00.000,82.73, ,46.67, ,61.0, ,36.19, ,51.17, ,45.0, ,35.0, ,40.0, ,50.0, ,82.0, ,73.0, ,50.0, ,79.0, ,27.0, 
PM10 ,2020-11-28 02:00:00.000,78.35, ,37.62, ,62.0, ,36.2, ,57.45, ,40.0, ,25.0, ,42.0, ,45.0, ,96.0, ,54.0, ,81.0, ,132.0, ,35.0, 
PM10 ,2020-11-28 03:00:00.000,74.6, ,45.88, ,71.0, ,47.18, ,55.61, ,33.0, ,20.0, ,41.0, ,47.0, ,90.0, ,53.0, ,46.0, ,100.0, ,34.0, 
PM10 ,2020-11-28 04:00:00.000,67.18, ,29.11, ,68.0, ,44.6, ,57.77, ,31.0, ,34.0, ,32.0, ,51.0, ,103.0, ,47.0, ,66.0, ,83.0, ,26.0, 
PM10 ,2020-11-28 05:00:00.000,41.97, ,27.78, ,57.0, ,44.08, ,60.02, ,43.0, ,40.0, ,26.0, ,48.0, ,105.0, ,57.0, ,37.0, ,98.0, ,28.0, 
PM10 ,2020-11-28 06:00:00.000,50.76, ,32.62, ,51.0, ,39.61, ,66.73, ,44.0, ,35.0, ,28.0, ,49.0, ,98.0, ,66.0, ,94.0, ,78.0, ,17.0, 
PM10 ,2020-11-28 07:00:00.000,55.75, ,29.98, ,53.0, ,43.64, ,70.93, ,41.0, ,39.0, ,26.0, ,52.0, ,119.0, ,60.0, ,72.0, ,74.0, ,22.0, 
PM10 ,2020-11-28 08:00:00.000,68.79, ,31.34, ,52.0, ,42.01, ,57.69, ,37.0, ,30.0, ,38.0, ,47.0, ,124.0, ,50.0, ,69.0, ,72.0, ,27.0, 
PM10 ,2020-11-28 09:00:00.000,63.89, ,35.12, ,60.0, ,38.35, ,41.67, ,40.0, ,33.0, ,37.0, ,59.0, ,88.0, ,63.0, ,56.0, ,80.0, ,23.0, 
PM10 ,2020-11-28 10:00:00.000,73.86, ,56.59, ,60.0, ,55.65, ,58.27, ,37.0, ,42.0, ,33.0, ,58.0, ,85.0, ,57.0, ,70.0, ,81.0, ,35.0, 
PM10 ,2020-11-28 11:00:00.000,63.82, ,41.27, ,93.0, ,68.27, ,57.22, ,45.0, ,51.0, ,36.0, ,62.0, ,74.0, ,81.0, ,57.0, ,84.0, ,23.0, 
PM10 ,2020-11-28 12:00:00.000,56.77, ,33.89, ,104.0, ,67.76, ,60.22, ,60.0, ,50.0, ,36.0, ,59.0, ,97.0, ,71.0, ,50.0, ,81.0, ,18.0, 
PM10 ,2020-11-28 13:00:00.000,47.52, ,33.26, ,69.0, ,56.6, ,68.9, ,71.0, ,56.0, ,30.0, ,54.0, ,90.0, ,65.0, ,70.0, ,89.0, ,25.0, 
PM10 ,2020-11-28 14:00:00.000,56.45, ,36.42, ,66.0, ,58.97, ,65.43, ,60.0, ,49.0, ,26.0, ,44.0, ,86.0, ,54.0, ,60.0, ,80.0, ,18.0, 
PM10 ,2020-11-28 15:00:00.000,51.55, ,34.35, ,84.0, ,62.21, ,60.03, ,55.0, ,43.0, ,34.0, ,49.0, ,86.0, ,58.0, ,60.0, ,85.0, ,11.0, 
PM10 ,2020-11-28 16:00:00.000,47.94, ,38.8, ,79.0, ,58.55, ,63.03, ,54.0, ,50.0, ,33.0, ,46.0, ,90.0, ,56.0, ,59.0, ,77.0, ,15.0, 
PM10 ,2020-11-28 17:00:00.000,47.02, ,39.27, ,65.0, ,66.23, ,61.54, ,53.0, ,39.0, ,31.0, ,43.0, ,75.0, ,48.0, ,60.0, ,72.0, ,21.0, 
PM10 ,2020-11-28 18:00:00.000,57.21, ,37.35, ,58.0, ,57.21, ,64.31, ,44.0, ,34.0, ,33.0, ,55.0, ,73.0, ,53.0, ,55.0, ,79.0, ,21.0, 
PM10 ,2020-11-28 19:00:00.000,44.2, ,28.64, ,65.0, ,50.39, ,59.12, ,45.0, ,27.0, ,33.0, ,46.0, ,75.0, ,56.0, ,55.0, ,66.0, ,23.0, 
PM10 ,2020-11-28 20:00:00.000,35.05, ,27.62, ,54.0, ,43.73, ,45.7, ,33.0, ,29.0, ,25.0, ,51.0, ,71.0, ,67.0, ,46.0, ,62.0, ,29.0, 
PM10 ,2020-11-28 21:00:00.000,34.26, ,37.73, ,50.0, ,49.71, ,46.91, ,29.0, ,36.0, ,27.0, ,49.0, ,68.0, ,75.0, ,42.0, ,54.0, ,33.0, 
PM10 ,2020-11-28 22:00:00.000,43.09, ,48.09, ,58.0, ,51.35, ,55.14, ,29.0, ,19.0, ,26.0, ,46.0, ,60.0, ,70.0, ,42.0, ,75.0, ,27.0, 
PM10 ,2020-11-28 23:00:00.000,34.09, ,44.6, ,46.0, ,33.23, ,31.84, ,45.0, ,13.0, ,24.0, ,34.0, ,59.0, ,27.0, ,41.0, ,55.0, ,15.0, 
PM10 ,2020-11-29 00:00:00.000,31.58, ,21.03, ,39.0, ,24.23, ,21.53, ,53.0, ,20.0, ,21.0, ,38.0, ,42.0, ,31.0, ,25.0, ,49.0, ,16.0, 
PM10 ,2020-11-29 01:00:00.000,26.4, ,20.5, ,28.0, ,22.42, ,31.3, ,41.0, ,17.0, ,22.0, ,33.0, ,35.0, ,41.0, ,29.0, ,41.0, ,20.0, 
PM10 ,2020-11-29 02:00:00.000,25.6, ,17.55, ,32.0, ,15.96, ,30.13, ,29.0, ,9.0, ,21.0, ,33.0, ,45.0, ,25.0, ,31.0, ,43.0, ,13.0, 
PM10 ,2020-11-29 03:00:00.000,24.73, ,17.97, ,33.0, ,17.57, ,26.92, ,27.0, ,16.0, ,25.0, ,38.0, ,43.0, ,34.0, ,34.0, ,37.0, ,10.0, 
PM10 ,2020-11-29 04:00:00.000,23.82, ,17.17, ,32.0, ,20.87, ,28.16, ,35.0, ,13.0, ,25.0, ,38.0, ,41.0, ,36.0, ,33.0, ,37.0, ,11.0, 
PM10 ,2020-11-29 05:00:00.000,25.05, ,16.47, ,31.0, ,23.6, ,29.44, ,31.0, ,15.0, ,22.0, ,33.0, ,54.0, ,27.0, ,32.0, ,35.0, ,13.0, 
PM10 ,2020-11-29 06:00:00.000,29.15, ,17.07, ,32.0, ,22.97, ,25.39, ,30.0, ,60.0, ,24.0, ,33.0, ,47.0, ,37.0, ,39.0, ,46.0, ,16.0, 
PM10 ,2020-11-29 07:00:00.000,36.82, ,18.26, ,38.0, ,19.92, ,27.27, ,36.0, ,19.0, ,31.0, ,43.0, ,50.0, ,28.0, ,40.0, ,56.0, ,13.0, 
PM10 ,2020-11-29 08:00:00.000,37.07, ,25.74, ,39.0, ,16.85, ,40.72, ,21.0, ,21.0, ,24.0, ,38.0, ,58.0, ,30.0, ,38.0, ,50.0, ,11.0, 
PM10 ,2020-11-29 09:00:00.000,26.49, ,21.53, ,34.0, ,25.66, ,35.07, ,28.0, ,25.0, ,25.0, ,40.0, ,51.0, ,34.0, ,40.0, ,46.0, ,14.0, 
PM10 ,2020-11-29 10:00:00.000,27.66, ,23.95, ,34.0, ,27.57, ,57.37, ,32.0, ,29.0, ,29.0, ,47.0, ,64.0, ,34.0, ,35.0, ,50.0, ,16.0, 
PM10 ,2020-11-29 11:00:00.000,43.33, ,28.29, ,47.0, ,28.51, ,59.07, ,29.0, ,35.0, ,28.0, ,44.0, ,67.0, ,32.0, ,44.0, ,55.0, ,20.0, 
PM10 ,2020-11-29 12:00:00.000,51.32, ,29.34, ,49.0, ,32.47, ,70.0, ,25.0, ,23.0, ,31.0, ,42.0, ,64.0, ,33.0, ,43.0, ,58.0, ,17.0, 
PM10 ,2020-11-29 13:00:00.000,47.14, ,26.97, ,51.0, ,41.72, ,67.58, ,25.0, ,29.0, ,28.0, ,49.0, ,66.0, ,36.0, ,53.0, ,52.0, ,13.0, 
PM10 ,2020-11-29 14:00:00.000,,x,30.54, ,52.0, ,45.36, ,67.5, ,22.0, ,29.74, ,24.0, ,42.0, ,65.0, ,33.0, ,52.0, ,58.0, ,15.0, 
PM10 ,2020-11-29 15:00:00.000,,x,26.71, ,49.0, ,42.42, ,58.0, ,16.0, ,34.42, ,22.0, ,47.0, ,84.0, ,40.0, ,54.0, ,48.0, ,17.0, 
PM10 ,2020-11-29 16:00:00.000,,x,37.64, ,55.0, ,36.05, ,48.56, ,33.0, ,28.38, ,22.0, ,57.0, ,74.0, ,44.0, ,59.0, ,50.0, ,18.0, 
PM10 ,2020-11-29 17:00:00.000,,x,50.48, ,53.0, ,45.2, ,45.56, ,39.0, ,33.72, ,31.0, ,51.0, ,68.0, ,40.0, ,52.0, ,41.0, ,13.0, 
PM10 ,2020-11-29 18:00:00.000,,x,53.51, ,47.0, ,63.44, ,45.91, ,65.0, ,57.19, ,33.0, ,46.0, ,48.0, ,47.0, ,53.0, ,68.0, ,11.0, 
PM10 ,2020-11-29 19:00:00.000,,x,56.8, ,45.0, ,62.92, ,42.46, ,70.0, ,62.54, ,41.0, ,67.0, ,58.0, ,58.0, ,45.0, ,73.0, ,43.0, 
PM10 ,2020-11-29 20:00:00.000,,x,53.97, ,53.0, ,61.59, ,47.86, ,66.0, ,74.6, ,49.0, ,74.0, ,60.0, ,81.0, ,51.0, ,54.0, ,47.0, 
PM10 ,2020-11-29 21:00:00.000,,x,68.24, ,50.0, ,54.52, ,42.36, ,39.0, ,71.12, ,53.0, ,75.0, ,68.0, ,91.0, ,48.0, ,79.0, ,60.0, 
PM10 ,2020-11-29 22:00:00.000,,x,38.55, ,49.0, ,31.58, ,44.87, ,30.0, ,33.79, ,49.0, ,75.0, ,54.0, ,90.0, ,67.0, ,88.0, ,60.0, 
PM10 ,2020-11-29 23:00:00.000,33.39, ,21.29, ,69.0, ,25.49, ,37.27, ,32.0, ,20.27, ,28.0, ,104.0, ,65.0, ,148.0, ,30.0, ,55.0, ,30.0, 
PM10 ,2020-11-30 00:00:00.000,63.23, ,67.64, ,32.0, ,95.34, ,31.17, ,35.0, ,24.0, ,22.0, ,115.0, ,50.0, ,89.0, ,45.0, ,42.0, ,20.0, 
PM10 ,2020-11-30 01:00:00.000,52.43, ,47.59, ,71.0, ,33.44, ,53.25, ,59.0, ,75.0, ,46.0, ,57.0, ,74.0, ,57.0, ,32.0, ,124.0, ,20.0, 
PM10 ,2020-11-30 02:00:00.000,44.41, ,38.13, ,41.0, ,35.56, ,37.16, ,35.0, ,24.0, ,33.0, ,52.0, ,67.0, ,33.0, ,49.0, ,54.0, ,24.0, 
PM10 ,2020-11-30 03:00:00.000,27.34, ,17.7, ,35.0, ,19.0, ,33.81, ,18.0, ,28.0, ,34.0, ,64.0, ,37.0, ,36.0, ,38.0, ,51.0, ,20.0, 
PM10 ,2020-11-30 04:00:00.000,24.17, ,14.9, ,31.0, ,18.57, ,27.19, ,24.0, ,7.0, ,23.0, ,38.0, ,37.0, ,36.0, ,28.0, ,37.0, ,12.0, 
PM10 ,2020-11-30 05:00:00.000,26.28, ,22.66, ,28.0, ,19.53, ,22.14, ,20.0, ,7.0, ,20.0, ,36.0, ,28.0, ,41.0, ,24.0, ,36.0, ,27.0, 
PM10 ,2020-11-30 06:00:00.000,30.0, ,26.94, ,25.0, ,18.14, ,29.13, ,23.0, ,10.0, ,23.0, ,42.0, ,30.0, ,30.0, ,21.0, ,41.0, ,15.0, 
